Hour,GHI,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Wind Speed
18,0,17.71300407,867.9557495,100,108.8124488,0.324577659
19,0,17.52678747,868.6002197,100,122.1490009,0.473619103
20,0,17.30054349,868.7487793,100,135.2450944,0.592563987
21,0,16.93685275,868.6873169,98.98099946,147.6029072,0.705011606
22,0,16.69268513,868.4054565,96.10873319,157.7703259,0.797240078
23,0,16.56622015,868.0064087,93.32242873,161.5415312,0.882309318
0,0,16.42201749,867.6030273,91.39502923,155.7057428,0.951294482
1,0,16.42376265,867.3538208,89.62822727,144.7747588,0.993082821
2,0,16.5532304,867.2196045,88.06360513,132.1714086,1.01738894
3,0,16.64017926,867.5762939,86.5817497,118.9966028,1.036413789
4,0,16.69046653,868.1203613,85.33298003,105.6549025,1.058923125
5,0,16.79240295,868.6672974,84.59849539,92.36503601,1.073290944
6,50,17.47693459,869.5109253,83.0634863,79.31591792,1.061632514
7,121,18.4438563,869.9983521,81.85123119,66.75599461,0.998985887
8,171,19.38186347,870.2826538,81.5122093,55.09283014,0.884881735
9,291,19.91218085,869.8815308,82.83372724,45.0831028,0.773040891
10,346,20.08175558,869.2836304,83.89735875,38.09252176,0.739037454
11,262,19.948491,868.395752,84.24324612,35.94968355,0.752588093
12,211,19.84886518,867.3746948,85.87803428,39.45768393,0.664500713
13,238,19.96180265,866.7042236,86.3015105,47.37100702,0.585979104
14,199,19.90986724,866.2416382,87.18781126,57.89600412,0.476373166
15,273,19.57508527,865.9849854,90.07393389,69.83913968,0.375464231
16,24,18.36178259,866.2576294,93.69818268,82.55457715,0.333317965
17,0,17.29093957,866.6224976,95.62665666,95.69009423,0.437947214
18,0,16.93403596,867.0603027,94.4494014,109.0203611,0.583665788
19,0,16.59669249,867.4459229,92.47898523,122.3612413,0.617541373
20,0,16.38911823,867.7663574,90.42823728,135.4747058,0.545889437
21,0,16.35447364,867.7368774,89.13303466,147.8716983,0.410567224
22,0,16.32432151,867.4778442,89.28278905,158.1088669,0.273779809
23,0,16.09890039,867.3672485,90.35542738,161.9033328,0.281709522
0,0,15.84710592,867.2407837,91.36011561,155.9582402,0.385609448
1,0,16.0032387,867.2568359,93.50621858,144.9442665,0.468102276
2,0,16.04476893,867.2272339,94.07430013,132.3016604,0.534290671
3,0,16.05386938,867.4658203,94.86740258,119.1110647,0.581917465
4,0,16.1837759,868.1417847,95.66160906,105.7672821,0.611098051
5,0,16.39556226,868.7800293,96.03935042,92.48538197,0.656439841
6,87,17.42061417,869.3398438,95.77823302,79.45365999,0.665935636
7,256,18.33854149,869.6846924,94.31178217,66.92196604,0.659039199
8,334,19.25597289,869.9129639,90.22264067,55.30066447,0.763711452
9,299,20.54925447,869.5557861,82.72846583,45.34843593,0.831278384
10,360,21.36703186,869.0108643,78.69102672,38.42258648,0.809707463
11,378,22.09475027,868.1118774,74.61711214,36.3188653,0.774291337
12,274,22.1279068,866.9121094,73.87613898,39.81411911,0.726885915
13,252,21.49808132,866.3477173,77.13446247,47.68651638,0.667907596
14,139,20.78254754,866.2028809,82.06784448,58.17110502,0.578576386
15,63,19.93897638,866.4384766,88.33507692,70.0832165,0.464929312
16,15,18.68122518,866.7128906,97.12188937,82.77713537,0.373226255
17,0,17.75042814,867.414978,100,95.89951052,0.42284146
18,0,17.66659611,868.1269531,100,109.224537,0.59770149
19,0,17.68820153,868.7768555,100,122.5692684,0.704412162
20,0,17.70456331,869.0848389,98.67850224,135.6995673,0.772325337
21,0,17.62920995,869.2520752,96.61540965,148.135353,0.792456806
22,0,17.46372912,868.8823853,95.02145577,158.4431973,0.786564469
23,0,17.28447877,868.5748901,93.36907804,162.2628406,0.765474558
0,0,17.05746571,868.2548218,92.17310723,156.2077579,0.743634999
1,0,16.60719585,867.9066772,91.56620542,145.1118844,0.735447466
2,0,16.21396253,867.5311279,91.21198316,132.4311795,0.763508797
3,0,16.0124988,867.6882324,90.3052247,119.2256356,0.787208736
4,0,15.81515388,868.0721436,88.7648088,105.8803794,0.78402102
5,0,15.95270904,868.5426636,87.66529709,92.60689521,0.736196756
6,85,19.31009843,868.9171753,84.5265506,79.59289202,0.611973941
7,294,20.91868833,869.3915405,71.96978701,67.08958589,0.59733063
8,527,23.09596308,869.6447754,64.24877914,55.51003175,0.705517173
9,673,24.09513543,869.3424683,56.75223483,45.61463456,0.825193763
10,663,24.34304894,868.776001,58.15391559,38.75201375,0.858712137
